Author_id,Author
1,Mark P. O. Morford
2,Robert J. Lenardon
3,Richard Bruce Wright
4,Carlo D'Este
5,Gina Kolata
6,Elizabeth Wayland Barber
7,E. J. W. Barber
8,Amy Tan
9,Robert Cowley
10,Scott Turow
11,Stacy Keach
12,David Cordingly
13,Ann Beattie
14,David Adams Richards
15,Kensington
16,Sheila Heti
17,J. R. Kaiser
18,Jack Canfield
19,Mark Victor Hansen
20,Jennifer Read Haw
21,Loren D. Estleman
22,John Kenneth
23,Robert Hendrickson
24,Julia Oliver
25,John Grisham
26,Toni Morrison
27,The Onion
28,Scott Dikkers
29,Mike Loew
30,Celia Brooks Brown
31,Jane Noraika
32,Philip Webb
33,J. R. Parrish
34,Mary-Kate &Amp; Ashley Olsen
35,Robynn Clairday
36,Kathleen Duey
37,Karen A. Bale
38,Bill Dodge
39,Rich Shapero
40,Michael Crichton
41,C.S. Lewis
42,Arthur Phillips
43,Stephen Jaramillo
44,Mordecai Richler
45,Michael Panofsky
46,Anette Grube
47,Eleanor Cooney
48,Daniel Altieri
49,Charlotte Link
50,Richard North Patterson
51,Kristian Lutze
52,Mark Salzman
53,Harper Lee
54,Laura Hillenbrand
55,Barbara Kingsolver
56,Jo Dereske
57,Jane Austen
58,Dolores Krieger
59,Anne Rivers Siddons
60,Dean Koontz
61,Mary Higgins Clark
62,Patricia Cornwell
63,J.D. Robb
64,Maeve Binchy
65,Laura J. Mixon
66,Tim Lahaye
67,Jerry B. Jenkins
68,Bernie S. Siegel M.D.
69,Robert Penn Warren
70,Hans Johannes Hoefer
71,Mark Helprin
72,O. Carl Simonton M.D.
73,James Creighton Ph.D.
74,Stepha
75,Chuck Hill
76,David Iglehart
77,Larry Mcmurtry
78,Suzanne Fisher Staples
79,Michel Tournier
80,Carl Sagan
81,Aleksandr Zinoviev
82,Anne Tyler
83,Joseph Conrad
84,Deepak Chopra
85,Martin Greenberg
86,Thomas Hardy
87,Charles Noland
88,Sherri Baker
89,Valerie Frankel
90,Benjamin Hoff
91,Niccolo Machiavelli
92,H. Jackson Brown Jr.
93,Robert A. Heinlein
94,Philip Pullman
95,
96,Michael Ondaatje
97,Sandra Levy Ceren
98,P. J. O'Rourke
99,Mike Gayle
100,Stel Pavlou
101,Sarah Payne Stuart
102,Dan Quayle
103,Donald F. Kettl
104,Donald Kettl
105,David Frum
106,Louis L'Amour
107,J.D. Salinger
108,John Berendt
109,Jennifer Crusie
110,Jane Heller
111,Michael Rips
112,Simon Mawer
113,William Abrahams
114,Robert T. Kiyosaki
115,Sharon L. Lechter
116,Ken Follett
117,John F. Love
118,Robert G. Allen
119,Louis De Bernieres
120,Pam Proctor
121,Allen M. Schoen
122,Mitch Albom
123,Michael Jan Friedman
124,Ronald D. Moore
125,Glendon Swarthout
126,Neal Barrett Jr.
127,J. Michael Straczynski
128,David Morrell
129,Sandra Brown
130,James Patterson
131,Peter De Jonge
132,Stuart Woods
133,Iris Johansen
134,Dan Brown
135,Joe Hutsko
136,Anita Shreve
137,Ann Rule
138,Lewis Grizzard
139,Paul Theroux
140,Charles Hickey
141,Todd Lighty
142,John O'Brien
143,Stephen King
144,Ben Mezrich
145,Bill Hand
146,Tom Clancy
147,Dana Reeve
148,Roy
149,Barbara Metzger
150,Gabriel Garcia Marquez
151,Rebecca Wells
152,Tony Hillerman
153,Robert James Waller
154,Rachel Harris
155,Ian Mcewan
156,Michael Lewis
157,Richard Zimler
158,Norman Jetmundsen
159,Lorenzo Carcaterra
160,Anne Frasier
161,Kay Hooper
162,Daphne Du Maurier
163,Nathaniel Hawthorne
164,Leo Marx
165,Nick Page
166,Laura Wolf
167,Lois Duncan
168,Susan Grant
169,Barbara Vine
170,Shirley Rousseau Murphy
171,Jane Lindskold
172,Betty Smith
173,Cybill Shepherd
174,Aimee Lee Ball
175,Stewart O'Nan
176,David Baldacci
177,Douglas Adams
178,Mary Lawson
179,Willa Cather
180,Olivia Goldsmith
181,Helen Fielding
182,Dover Thrift Editions
183,Franklin W. Dixon
184,Lilian Jackson Braun
185,Holly Virden
186,Michelle Mckinney Hammond
187,H. Norman Wright
188,Piers Anthony
189,Ray Bradbury
190,Friedrich Schiller
191,Walter Schafarschik
192,Peter Naujack
193,Raymond Chandler
194,Hans Wollschläger
195,Thomas Schlück
196,Norbert Wölfl
197,Alexander Schmitz
198,Jürgen Bauer
199,Alastair Ker
200,Paulo Coelho
201,Maralde Meyer-Minnemann
202,Gabriel García Márquez
203,Fay Weldon
204,Arabella Weir
205,Kiana Davenport
206,Margarete Längsfeld
207,Sue Townsend
208,Renan Demirkan
209,Michael Moore
210,Helmut Dierlamm
211,Heike Schlatterer
212,Jonathan Franzen
213,Bettina Abarbanell
214,J. D. Salinger
215,Annemarie Böll
216,Heinrich Böll
217,Elisab
218,James Joyce
219,Joanna Trollope
220,Antoinette Gittinger
221,Milan Kundera
222,Arundhati Roy
223,Robert S. Levinson
224,Lorna Landvik
225,Arthur Golden
226,Kent Haruf
227,Patricia D Cornwell
228,Patricia D. Cornwell
229,Carol J. Farley
230,Tom Newsom
231,Kathleen E. Woodiwiss
232,Belva Plain
233,Mark Haddon
234,Ann Brashares
235,Erich Segal
236,Elizabeth Adler
237,Nicholas Sparks
238,John Saul
239,Steve Thayer
240,Tracy Chevalier
241,Judith Kelman
242,Michael Palmer
243,Francine Hughes
244,Norman Bridwell
245,Frank Mccourt
246,Malachy Mccourt
247,Mari Sandoz
248,Anne Perry
249,Alexander Mccall Smith
250,Barbara Bergman
251,Gregory Maguire
252,Yann Martel
253,Ruth Rendell
254,Al Franken
255,Donna Tartt
256,John Milne
257,Terry Pratchett
258,E. B. White
259,Garth Williams
260,J. M. Barrie
261,Mary O'Hara
262,Paul Kidby
263,Louise Rennison
264,Kenneth Grahame
265,Bernard Cornwell
266,Charles De Lint
267,Lord Dunsany
268,Neil Gaiman
269,Georgette Heyer
270,Oscar Wilde
271,Jeffrey Eugenides
272,Ted Hughes
273,Andrew Davidson
274,Roald Dahl
275,Quentin Blake
276,Donna Jo Napoli
277,A.S. Byatt
278,Tanuja Desai Hidier
279,Sophie Kinsella
280,Isabel Wolff
281,Louisa May Alcott
282,Margaret Drabble
283,George Orwell
284,Charles Dickens
285,Isabel Allende
286,Ellen Datlow
287,Terri Windling
288,Charles Vess
289,Neil Gaim
290,Joseph Heller
291,John Galsworthy
292,Enid Blyton
293,Alan Moore
294,Kevin O'Neill
295,Ben Dimagmaliw
296,Sam Kieth
297,Mike Dringenberg
298,Malcolm Jon
299,John Bolton
300,Trudy Suggs
301,Tom Wolfe
302,Brady Udall
303,Homer Hickam
304,Pearl Abraham
305,Sebastian Junger
306,Karen Armstrong
307,Mary Barnard
308,Dudley Fitts
309,David Brin
310,T. C. Boyle
311,T. Coraghessan Boyle
312,Plato
313,Alexander Nehamas
314,Paul Woodruff
315,Lynda Madaras
316,Dane Saavedra
317,Jackie Aher
318,Stephen Mccauley
319,Isabelle Holland
320,Pam Conrad
321,Lurlene Mcdaniel
322,Brian Kaufman
323,John Darnton
324,Martin Schenk
325,David Eddings
326,Leigh Eddings
327,Paul Reiser
328,David G. Hartwell
329,Kathryn Cramer
330,Dave Barry
331,John R. Holt
332,Theodore Beale
333,Frank M. Robinson
334,Mary Jane Clark
335,Mary Shelley
336,Robert Westall
337,Robert B. Parker
338,Rita Chapman Works
339,Mark Carwardine
340,A. Manette Ansay
341,Sarah Waters
342,Anne Frank
343,Barry Lopez
344,Greg Palast
345,Andrea Kane
346,Nevada Barr
347,Margaret Maron
348,Edna Barker
349,Shelagh Rogers
350,Muriel Whitaker
351,John Irving
352,William Golding
353,Hermann Stiehl
354,Harperreference
355,Ltd
356,Ann Patchett
357,Lane Smith
358,Sue Monk; Sue Monk Kidd Kidd
359,Roseanne J. Serra (Co
360,Bob Thiele
361,Bob Golden
362,Steve Allen
363,Colleen Mccullough
364,Joanne Harris
365,Thomas Cahill
366,Michael Hudson
367,Jane Smiley
368,Dick Francis
369,Nora Roberts
370,Jean Marzollo
371,Walter Wick
372,Carol Devine Carson
