Author_id,ISBN10
1,0195153445
2,0195153445
1,0195153448
2,0195153448
3,0002005018
4,0060973129
5,0374157065
6,0393045218
7,0393045218
8,0399135782
9,0425176428
10,0671870432
11,0671870432
12,0679425608
13,074322678X
14,0771074670
15,080652121X
16,0887841740
17,1552041778
18,1558746218
19,1558746218
20,1558746218
21,1567407781
22,1567407781
23,1575663937
24,1881320189
25,0440234743
26,0452264464
27,0609804618
28,0609804618
29,0609804618
30,1841721522
31,1841721522
32,1841721522
33,1879384493
34,0061076031
35,0439095026
36,0689821166
37,0689821166
38,0689821166
39,0971880107
40,0345402871
40,0345417623
41,0684823802
42,0375759778
43,0425163091
44,3404921038
45,3404921038
46,3404921038
47,3442353866
48,3442353866
49,3442410665
50,3442446937
51,3442446937
52,0375406328
53,0446310786
54,0449005615
55,0060168013
56,038078243X
57,055321215X
58,067176537X
59,0061099686
60,0553582909
61,0671888587
60,0553582747
62,0425182908
63,042518630X
64,0440223571
65,0812523873
66,0842342702
67,0842342702
25,0440225701
68,0060914068
69,0156047624
70,0245542957
71,0380715899
72,0553280333
73,0553280333
74,0553280333
75,0961769947
76,0964778319
77,0671623249
78,0679810307
78,0679865691
79,2070423204
80,0345260317
81,0394743741
82,042511774X
8,0804106304
83,1853262404
84,0312970242
85,0312970242
86,1853260053
87,1414035004
88,1414035004
89,0060938412
90,0140067477
54,0345465083
91,0451625889
92,1558531025
93,0441783589
94,0394895894
95,1569871213
96,0375410538
97,0966986105
98,087113375X
99,0340767936
100,0743403843
101,0060930365
102,0060177586
103,0071416331
104,0071416331
105,0375509038
106,0553062042
107,0316769487
108,0679429220
61,0671867156
109,0312252617
110,0312261594
111,0316748641
112,0316973742
113,0385235941
114,0446677450
115,0446677450
116,0451166892
117,0553347594
118,0671621009
119,067976397X
120,0684822733
121,0684822733
122,0786868716
123,0671864769
124,0671864769
125,0671521519
126,0440222303
127,0440222303
128,0312953453
129,0446608653
130,0446612545
131,0446612545
129,0446612618
132,0451208080
133,0553584383
134,0671027360
135,0812575954
136,0316735736
137,0743439740
138,0345372700
139,0380619458
138,0446325805
140,0451406923
141,0451406923
142,0451406923
143,0671042858
144,0743249992
145,0840734530
146,0425184226
147,0375500766
148,9724119378
149,0451205197
150,0060929790
151,0060976845
152,0061099325
61,0671004573
153,0446601640
154,0330484516
155,038572179X
156,0393020371
157,1900850303
158,1903019699
159,0345425294
160,0451410319
161,0553583468
162,0380778556
163,0451525221
164,0451525221
165,0002740230
166,0385336772
167,0440949424
168,0505524996
169,0140252800
170,0451452755
171,0812575482
153,044651747X
172,0060801263
173,0061030147
174,0061030147
175,0140250964
176,0446527165
177,0671461494
178,0385337639
179,039575514X
180,0451206673
181,0330332775
57,0486284735
182,0486284735
183,0671021745
183,0671047612
183,0671504282
184,0399138684
185,0785263292
186,0785263292
187,0830714014
188,0345354931
189,0553278223
190,3150000335
191,3150000335
189,3257203659
192,3257203659
193,3257207522
194,3257207522
189,3257208626
189,3257208634
195,3257208634
189,3257208669
196,3257208669
189,3257210450
197,3257210450
189,3257212054
189,3257212429
189,3257214154
198,3257214154
199,3257214154
189,3257216416
200,3257233051
201,3257233051
202,342311360X
203,3423116714
204,3423241489
205,3426605686
206,3426605686
207,3453212150
208,3462021095
209,3492045642
210,3492045642
211,3492045642
212,3498020862
213,3498020862
214,3499110695
215,3499110695
216,3499110695
217,3499110695
214,3499151502
215,3499151502
216,3499151502
218,3518111000
194,3518111000
219,3548254268
207,3570300099
220,3570300099
221,3596292646
222,0060977493
223,0312872682
130,0316602906
130,0316693006
50,0345311396
40,0345378490
50,0345404793
224,0345433173
225,0375400117
226,0375705856
227,0380717018
228,0380718332
229,0380754509
230,0380754509
231,038076654X
231,0380807866
232,0385316895
25,0385497466
25,0385508042
233,0385509456
25,0385511612
234,0385730586
235,0425164403
236,0440234964
130,0446605484
237,0446610399
238,0449006522
224,0449911004
143,0451162072
239,0451186648
240,0452282152
241,051513290X
242,0553580388
243,0590598848
244,0590629719
62,0671023616
134,0671027387
245,0684848783
134,0743486226
246,0786863986
247,0803251718
248,0804117934
249,140003180X
18,155874262X
19,155874262X
250,155874262X
251,0060987103
252,0151008116
253,0375704965
254,0525947647
255,0804111359
18,1558744150
19,1558744150
20,1558744150
256,0435272683
136,0316782505
257,006102063X
257,0060013117
257,0060199563
258,006052779X
259,006052779X
260,0060563079
261,0060809027
257,0061040967
262,0061040967
257,0061050474
257,0061052515
257,0061052523
263,0064472264
57,0140620664
264,0312148267
265,0312156960
266,0312890044
267,034543191X
268,034543191X
269,0373836023
270,0375751513
271,0375751513
272,0375801677
273,0375801677
274,0375814248
275,0375814248
94,0375823352
94,037582345X
94,0375823468
207,0380730448
189,0380973839
276,0385327773
277,0394586239
278,0439510112
279,0440241413
280,0451409256
281,0451523415
57,0451526279
282,0451526279
283,0451526341
284,0486415864
285,0553280589
55,0571197639
286,0670035262
287,0670035262
288,0670035262
289,0670035262
284,0679423079
277,0679751343
290,0684833395
291,0743245024
292,0749748001
292,0749748028
268,0963094424
293,1401201172
294,1401201172
295,1401201172
268,1563892278
296,1563892278
297,1563892278
298,1563892278
293,1563898586
268,156971620X
299,156971620X
300,1592571301
301,0374270325
302,0375719180
303,0440235502
25,044023722X
304,1573225487
86,1853260673
305,0060977477
306,0345391691
307,0520011171
308,0520011171
309,0553278746
310,0670856045
311,0670856045
312,0872200760
313,0872200760
314,0872200760
315,0937858994
316,0937858994
317,0937858994
318,0671649949
319,0590431110
320,0064470113
321,0553571486
322,0972044205
323,0312963009
324,0345430476
325,0345435869
326,0345435869
327,0380728729
328,038081840X
329,038081840X
330,0449912302
331,055329198X
332,0671018930
333,0812541642
334,0312988699
335,0486282112
182,0486282112
336,0670815373
337,0385313748
338,1575843366
62,0684193957
177,0345371984
339,0345371984
340,0380730138
341,1573228737
342,9681500555
343,0380711109
344,0452283914
146,0425120279
345,067153484X
346,0380728273
347,0446606197
348,0771076002
349,0771076002
350,0771088191
351,1559703237
352,3596214629
353,3596214629
354,0062770500
355,0671847546
356,0060188731
274,0140374248
357,0140374248
358,0142001740
359,0142001740
360,0195086295
361,0195086295
362,0195086295
134,0312995423
363,0380704587
364,0380815923
25,0385416342
365,0385418493
25,038542471X
366,0425098109
367,0449005410
368,0449202631
368,0449207544
369,0515128554
177,0517577402
370,0590450875
371,0590450875
372,0590450875
370,0590481371
371,0590481371
373,067103619X
374,0684177730
375,0684180200
373,0743411269
376,0743470389
377,076218857X
378,0767905938
379,0800706544
380,0801096677
381,0849953014
382,0891091963
383,0915811537
384,0927545373
385,1575024179
386,1880185008
387,0140345809
388,0156528207
389,0380012863
390,0451154916
391,0785815147
392,0875421288
393,1567184294
394,156718796X
395,1862047626
396,0020437501
397,0198320264
398,0198320264
399,0373196989
400,0373245580
401,0451527747
402,0451527747
61,0671867113
403,0812504208
151,0060173289
404,0060973897
405,0060973897
305,006101351X
406,0140104682
407,0312143370
408,0316666343
409,039456894X
410,0440224675
411,0449002632
412,0449213773
413,0452279690
412,0553569058
414,0679427430
415,0679725393
416,0802114369
417,0803233019
418,0803233019
419,0819154946
420,0897322339
421,0940322978
422,0940322978
423,1573225126
424,1579651658
425,1878424319
426,0600586898
427,1853260622
428,1857938011
429,0060804157
430,0140382658
431,0152012966
432,0312283784
188,0345297709
188,0345313097
433,0345335465
434,0345416848
435,0385333404
25,044021145X
436,0449212084
437,0553582682
438,0590947257
439,0590947257
440,074345829X
441,074345829X
442,0786913878
443,0801491827
444,0816729913
445,0843136685
446,0843136685
447,0843136685
448,0866119531
449,0866119531
450,0866119531
284,0866119566
451,0866119566
452,0870441663
453,0870441663
454,1561561428
455,1561561428
456,1561561428
163,0553210092
433,0553258524
336,0688163726
457,1569471096
458,055358099X
408,0316168815
311,014023828X
459,0316314927
351,0345424719
460,0375414746
461,0375726403
412,0385503857
462,0425156842
463,0440226104
464,0452277337
60,0553802488
465,0671021001
466,0767903579
467,0805063897
468,0679777431
469,0553285343
470,0486285529
180,0671002481
471,0812523385
472,0895774666
473,0020199090
474,0385495145
475,0679733825
66,0842329129
67,0842329129
476,0345451260
477,0740700235
478,0380973545
479,0380973545
480,0393321576
143,0743424425
481,0786868015
482,0786868015
483,0786868015
484,0446610178
485,0684854953
486,0684854953
61,0743229878
487,0380617625
488,0380732335
489,0385337132
490,0440235057
490,0445402040
491,0618119760
492,0871138646
493,0026329859
494,0060621257
55,0060915544
55,0060917016
495,0060925000
285,0060932759
152,0061000280
496,0192815318
497,0192815318
498,0312195516
499,0380792664
500,0393048977
184,0399137807
62,039914739X
64,0451203046
501,0451410556
502,0451523318
503,0486281965
504,0486292940
505,051762639X
415,0684824442
506,0743458303
507,081296666X
508,0819215635
509,0819215635
510,0819215635
511,0880011025
512,1561011525
513,1877727083
514,1877727083
515,0486206173
516,0486206173
517,0312278586
518,0312278586
519,0140370900
520,0674511255
521,0030096189
522,0030096189
523,0312965745
524,0345374657
525,0395710901
526,080521061X
527,0823032612
528,0679310002
529,0312288115
530,0316171107
531,0380710218
532,0515118656
533,0553289063
534,0671000306
61,0671673688
535,1561672033
536,0425178242
537,0425178242
538,0618173870
252,0156027321
539,0375403582
540,0385721420
541,0451202341
542,0743418190
543,0385335407
544,0965746828
545,0060923245
546,0486272664
547,0786015276
548,0786015276
549,0060913509
369,0553272837
550,0440225078
551,0312145543
60,0425181111
552,0380732688
553,0140286276
369,0373484100
367,0449907481
554,0553107305
555,080213825X
369,0515127833
556,0345441133
557,0515134279
558,0945586051
25,0385490992
25,0385424728
559,0312980388
560,0590419625
561,0590419625
25,0385472951
562,0451195663
563,0425182878
564,0425182878
565,0553564528
565,055356451X
61,0743412621
566,0849943728
567,0849943450
566,084994371X
568,0590406019
569,0020442408
570,0553225987
571,042517736X
137,0671868713
572,038549825X
573,0553202294
574,0345313860
574,0345369947
575,067170124X
576,0345353625
577,0308102282
578,006017143X
579,0805056491
580,0679401377
581,1562827049
582,1562827049
543,0385306032
583,0816152446
584,0821772953
585,0345379454
161,0553576925
61,0743206053
586,0688169678
587,0439319552
